# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
1013.7; 52.557; 18.83; 0.01868; -0.51997; -0.01784; -0.03035
1016.8; 52.722; 18.76; 0.03547; -0.49562; -0.05088; -0.04569
1019.9; 52.888; 18.67; 0.04709; -0.46653; -0.06709; -0.04793
1023.0; 53.054; 18.58; 0.05472; -0.45049; -0.04932; -0.04328
1026.1; 53.221; 18.49; 0.06018; -0.44246; -0.00147; -0.04396
1029.2; 53.389; 18.41; 0.06065; -0.35142; 0.03437; -0.05965
1032.3; 53.555; 18.90; 0.02608; 0.19908; -0.00507; -0.05063
1035.4; 53.720; 18.85; 0.00180; 0.49997; -0.04923; -0.00362
1038.5; 53.884; 18.81; -0.02027; 0.53191; -0.02913; 0.03510
1041.6; 54.049; 18.73; -0.03837; 0.50887; 0.01870; 0.05434
1044.7; 54.215; 18.64; -0.05178; 0.48365; 0.04951; 0.05538
1047.8; 54.382; 18.55; -0.06172; 0.46797; 0.03050; 0.04725
1050.9; 54.549; 18.46; -0.06853; 0.43318; -0.03330; 0.04667
1054.0; 54.718; 18.38; -0.06585; 0.29828; -0.08414; 0.06114
1057.1; 54.884; 18.88; -0.02593; -0.21783; -0.04648; 0.05104
1060.2; 55.048; 18.90; -0.00198; -0.44762; 0.00766; 0.00905
1063.3; 55.213; 18.76; 0.01800; -0.52264; 0.00402; -0.02756
1066.4; 55.379; 18.69; 0.03500; -0.49679; -0.03073; -0.04761
1069.5; 55.545; 18.60; 0.04661; -0.46737; -0.05415; -0.04866
1072.6; 55.712; 18.51; 0.05421; -0.45201; -0.03528; -0.04140
1075.7; 55.879; 18.42; 0.05987; -0.44808; 0.01479; -0.04463
1078.8; 56.048; 18.34; 0.06149; -0.36979; 0.04030; -0.06579
1081.9; 56.215; 18.83; 0.02770; 0.18037; -0.01793; -0.05849
1085.0; 56.380; 18.85; 0.00309; 0.49081; -0.07308; -0.00472
1088.1; 56.545; 18.80; -0.01901; 0.53454; -0.04027; 0.04090
1091.2; 56.710; 18.73; -0.03760; 0.51160; 0.03002; 0.05925
1094.3; 56.875; 18.64; -0.05134; 0.48522; 0.06700; 0.05305
1097.4; 57.042; 18.54; -0.06150; 0.46959; 0.03453; 0.04193
1100.5; 57.210; 18.45; -0.06863; 0.43723; -0.03968; 0.04596
1103.6; 57.378; 18.38; -0.06700; 0.31267; -0.08515; 0.06580
1106.7; 57.545; 18.87; -0.02760; -0.20409; -0.03484; 0.05704
1109.8; 57.709; 18.96; -0.00299; -0.43789; 0.02767; 0.01035
1112.9; 57.873; 18.84; 0.01684; -0.52083; 0.01729; -0.03024
1116.0; 58.037; 18.77; 0.03409; -0.49743; -0.02902; -0.04933
